seed,variant,label,makespan_s,distance_m,energy_kwh,load_std_s,runtime_s
18,B3_Graph_ALNS,B3 Graph + ALNS (full),3552.822371428572,33116.73824,97.01846056300036,1668.0827317612277,0.3611130850003974
18,B4_no_adaptive,B4 w/o adaptive weights,3561.6310435294117,33291.86007,98.27332200140626,1815.2134860671347,0.4725826789999701
18,B5_no_SA,B5 w/o simulated annealing,3481.112826666667,32580.716399999998,96.10264077067554,1584.297951775486,0.3665098389992636
18,B6_no_bottleneck,B6 w/o bottleneck destroy,3493.369769230769,35211.84847999999,104.04229293050189,1667.3332000533067,0.5341684759996497
18,B7_basic_operators,B7 basic operators only,3534.1260463414637,35640.38838999999,108.04381900913828,1738.5338650713709,0.2658300869998129
19,B1_Plain_ALNS,B1 Plain ALNS,3479.085191025641,31919.50961,95.58562073270203,1873.1240615613265,0.7543393010000727
19,B2_Graph_Greedy,B2 Graph + Greedy,4263.091123076923,42624.95087,118.60581618227593,1741.003661684834,0.0006155900000521797
19,B3_Graph_ALNS,B3 Graph + ALNS (full),3471.268065333333,34785.30891,100.61739319618376,1692.9541488179766,0.497949938999227
19,B4_no_adaptive,B4 w/o adaptive weights,3486.0165128205126,33959.69481,98.06437869425827,1667.6611616272653,0.48235319500054175
19,B5_no_SA,B5 w/o simulated annealing,3491.462842857143,33615.873810000005,100.74921891827647,1677.377044674214,0.4313409890000912
19,B6_no_bottleneck,B6 w/o bottleneck destroy,3629.0746799999997,34432.285,99.8752251514836,1956.6792660014569,0.5743014959998618
19,B7_basic_operators,B7 basic operators only,3669.355084,39509.69963999999,113.13196014134502,1731.6448105775041,0.2835884249998344
