-0.022604,-0.027887,-0.033392,-0.038921,-0.044224,-0.049018,-0.053008,-0.055923,-0.057543,-0.057732,-0.056456,-0.053781,-0.049864,-0.044931,-0.039248,-0.033090,-0.026718,-0.020364,-0.014218,-0.008427,-0.003098,0.001698,0.005920,0.009548,0.012575,0.015004,0.016842,0.018094,0.018761,0.018837,0.018306,0.017139,0.015290,0.012696,0.009274,0.004917,-0.000506,-0.007150,-0.015182,-0.024775,-0.036067,-0.049118,-0.063819,-0.079776,-0.096180,-0.111688,-0.124443,-0.132308,-0.133403,-0.126812,-0.113113,-0.094350,-0.073382,-0.052951,-0.034987,-0.020398,-0.009252,-0.001124,0.004605,0.008550,0.011231,0.013046,0.014285,0.015146,0.015766,0.016232,0.016604,0.016919,0.017201,0.017468,0.017730,0.017994,0.018268,0.018553,0.018854,0.019170,0.019502,0.019849,0.020209,0.020577,0.020951,0.021325,0.021693,0.022050,0.022391,0.022710,0.023002,0.023265,0.023497,0.023696,0.023864,0.024003,0.024117,0.024212,0.024295,0.024374,0.024457,0.024554,0.024673,0.024823,0.025013,0.025251,0.025544,0.025896,0.026313,0.026797,0.027350,0.027972,0.028661,0.029415,0.030229,0.031099,0.032017,0.032977,0.033970,0.034987,0.036020,0.037060,0.038096,0.039121,0.040124,0.041099,0.042037,0.042931,0.043777,0.044569,0.045304,0.045978,0.046590,0.047140,0.047627,0.048052,0.048418,0.048726,0.048978,0.049179,0.049332,0.049441,0.049509,0.049541,0.049540,0.049511,0.049456,0.049381,0.049289,0.049182,0.049063,0.048936,0.048803,0.048665,0.048526,0.048386
-0.020224,-0.025376,-0.030840,-0.036449,-0.041989,-0.047201,-0.051803,-0.055519,-0.058105,-0.059381,-0.059255,-0.057728,-0.054898,-0.050940,-0.046083,-0.040584,-0.034703,-0.028681,-0.022730,-0.017022,-0.011690,-0.006829,-0.002506,0.001240,0.004385,0.006918,0.008836,0.010134,0.010806,0.010839,0.010211,0.008888,0.006821,0.003941,0.000163,-0.004621,-0.010537,-0.017727,-0.026335,-0.036490,-0.048259,-0.061596,-0.076244,-0.091630,-0.106759,-0.120163,-0.130001,-0.134386,-0.131925,-0.122308,-0.106611,-0.087066,-0.066373,-0.046896,-0.030159,-0.016771,-0.006640,0.000708,0.005874,0.009432,0.011855,0.013503,0.014635,0.015430,0.016008,0.016448,0.016804,0.017108,0.017383,0.017645,0.017902,0.018163,0.018433,0.018716,0.019014,0.019328,0.019659,0.020005,0.020365,0.020735,0.021112,0.021490,0.021865,0.022231,0.022581,0.022912,0.023218,0.023495,0.023743,0.023959,0.024144,0.024301,0.024434,0.024548,0.024650,0.024747,0.024849,0.024963,0.025101,0.025269,0.025478,0.025735,0.026046,0.026418,0.026855,0.027360,0.027934,0.028577,0.029288,0.030063,0.030899,0.031788,0.032726,0.033704,0.034713,0.035745,0.036790,0.037838,0.038881,0.039908,0.040912,0.041883,0.042815,0.043700,0.044533,0.045310,0.046026,0.046680,0.047270,0.047795,0.048256,0.048655,0.048992,0.049271,0.049495,0.049667,0.049791,0.049872,0.049912,0.049917,0.049890,0.049836,0.049758,0.049660,0.049546,0.049419,0.049282,0.049137,0.048987,0.048834,0.048680,0.048527
-0.015571,-0.020384,-0.025646,-0.031257,-0.037065,-0.042871,-0.048434,-0.053488,-0.057767,-0.061029,-0.063089,-0.063836,-0.063247,-0.061389,-0.058405,-0.054494,-0.049890,-0.044836,-0.039568,-0.034295,-0.029197,-0.024420,-0.020074,-0.016243,-0.012986,-0.010345,-0.008352,-0.007031,-0.006407,-0.006506,-0.007365,-0.009027,-0.011551,-0.015008,-0.019486,-0.025084,-0.031908,-0.040060,-0.049614,-0.060585,-0.072873,-0.086197,-0.100006,-0.113403,-0.125118,-0.133587,-0.137205,-0.134742,-0.125807,-0.111145,-0.092543,-0.072342,-0.052771,-0.035446,-0.021178,-0.010088,-0.001847,0.004068,0.008211,0.011067,0.013025,0.014371,0.015310,0.015983,0.016485,0.016878,0.017204,0.017488,0.017750,0.018001,0.018250,0.018504,0.018767,0.019044,0.019336,0.019646,0.019973,0.020317,0.020678,0.021051,0.021434,0.021821,0.022208,0.022590,0.022960,0.023314,0.023647,0.023954,0.024234,0.024485,0.024707,0.024902,0.025073,0.025226,0.025367,0.025503,0.025644,0.025798,0.025974,0.026182,0.026431,0.026728,0.027081,0.027495,0.027975,0.028524,0.029143,0.029831,0.030587,0.031407,0.032286,0.033218,0.034195,0.035209,0.036250,0.037310,0.038377,0.039443,0.040496,0.041527,0.042528,0.043490,0.044406,0.045268,0.046072,0.046814,0.047491,0.048100,0.048641,0.049113,0.049519,0.049859,0.050137,0.050356,0.050519,0.050630,0.050695,0.050716,0.050699,0.050648,0.050568,0.050463,0.050336,0.050192,0.050034,0.049866,0.049690,0.049509,0.049325,0.049141,0.048958,0.048778
-0.011193,-0.015554,-0.020429,-0.025774,-0.031497,-0.037464,-0.043492,-0.049361,-0.054822,-0.059623,-0.063534,-0.066368,-0.068003,-0.068398,-0.067592,-0.065696,-0.062879,-0.059348,-0.055327,-0.051036,-0.046681,-0.042444,-0.038477,-0.034907,-0.031831,-0.029329,-0.027463,-0.026286,-0.025842,-0.026179,-0.027345,-0.029395,-0.032390,-0.036399,-0.041498,-0.047759,-0.055243,-0.063976,-0.073924,-0.084946,-0.096738,-0.108774,-0.120249,-0.130068,-0.136918,-0.139459,-0.136643,-0.128077,-0.114276,-0.096647,-0.077158,-0.057828,-0.040257,-0.025387,-0.013518,-0.004482,0.002146,0.006875,0.010183,0.012472,0.014054,0.015156,0.015939,0.016513,0.016952,0.017306,0.017605,0.017872,0.018122,0.018363,0.018604,0.018851,0.019107,0.019377,0.019663,0.019968,0.020291,0.020633,0.020993,0.021368,0.021755,0.022151,0.022550,0.022947,0.023337,0.023714,0.024073,0.024411,0.024725,0.025012,0.025272,0.025507,0.025720,0.025916,0.026101,0.026281,0.026466,0.026665,0.026886,0.027140,0.027435,0.027779,0.028179,0.028641,0.029170,0.029769,0.030438,0.031176,0.031981,0.032850,0.033775,0.034751,0.035769,0.036820,0.037894,0.038980,0.040067,0.041146,0.042206,0.043236,0.044229,0.045175,0.046067,0.046899,0.047667,0.048366,0.048994,0.049550,0.050034,0.050446,0.050788,0.051063,0.051275,0.051426,0.051522,0.051567,0.051567,0.051524,0.051446,0.051336,0.051199,0.051039,0.050862,0.050669,0.050466,0.050255,0.050039,0.049821,0.049603,0.049387,0.049174,0.048966
-0.007184,-0.011046,-0.015438,-0.020352,-0.025748,-0.031548,-0.037631,-0.043832,-0.049951,-0.055762,-0.061032,-0.065545,-0.069118,-0.071627,-0.073018,-0.073305,-0.072574,-0.070964,-0.068652,-0.065839,-0.062727,-0.059513,-0.056376,-0.053473,-0.050937,-0.048883,-0.047404,-0.046580,-0.046482,-0.047175,-0.048718,-0.051173,-0.054598,-0.059048,-0.064569,-0.071187,-0.078889,-0.087601,-0.097150,-0.107224,-0.117325,-0.126737,-0.134527,-0.139603,-0.140869,-0.137464,-0.129033,-0.115936,-0.099271,-0.080657,-0.061854,-0.044366,-0.029193,-0.016773,-0.007085,0.000183,0.005469,0.009228,0.011861,0.013693,0.014972,0.015877,0.016533,0.017026,0.017413,0.017733,0.018010,0.018261,0.018499,0.018731,0.018964,0.019203,0.019453,0.019716,0.019996,0.020295,0.020613,0.020952,0.021311,0.021687,0.022078,0.022481,0.022891,0.023303,0.023711,0.024112,0.024498,0.024867,0.025215,0.025540,0.025841,0.026120,0.026378,0.026621,0.026854,0.027084,0.027319,0.027568,0.027841,0.028147,0.028494,0.028892,0.029347,0.029864,0.030449,0.031103,0.031828,0.032621,0.033481,0.034402,0.035377,0.036400,0.037460,0.038547,0.039652,0.040762,0.041867,0.042955,0.044016,0.045040,0.046017,0.046940,0.047801,0.048595,0.049317,0.049964,0.050535,0.051029,0.051447,0.051790,0.052061,0.052263,0.052401,0.052479,0.052502,0.052475,0.052404,0.052293,0.052149,0.051976,0.051779,0.051563,0.051331,0.051089,0.050838,0.050583,0.050327,0.050071,0.049817,0.049569,0.049327,0.049092
-0.003569,-0.006935,-0.010811,-0.015215,-0.020143,-0.025560,-0.031398,-0.037550,-0.043869,-0.050177,-0.056272,-0.061941,-0.066986,-0.071238,-0.074575,-0.076933,-0.078312,-0.078772,-0.078427,-0.077425,-0.075942,-0.074161,-0.072262,-0.070418,-0.068784,-0.067496,-0.066677,-0.066428,-0.066841,-0.067993,-0.069954,-0.072781,-0.076519,-0.081199,-0.086819,-0.093342,-0.100664,-0.108597,-0.116830,-0.124907,-0.132201,-0.137925,-0.141187,-0.141108,-0.136999,-0.128563,-0.116063,-0.100347,-0.082725,-0.064684,-0.047582,-0.032408,-0.019688,-0.009529,-0.001734,0.004052,0.008239,0.011213,0.013303,0.014769,0.015804,0.016549,0.017101,0.017527,0.017870,0.018161,0.018419,0.018656,0.018883,0.019106,0.019331,0.019563,0.019805,0.020061,0.020334,0.020627,0.020940,0.021275,0.021632,0.022008,0.022403,0.022812,0.023232,0.023658,0.024085,0.024508,0.024922,0.025323,0.025707,0.026072,0.026416,0.026741,0.027049,0.027343,0.027629,0.027914,0.028205,0.028512,0.028844,0.029209,0.029617,0.030076,0.030592,0.031172,0.031820,0.032537,0.033324,0.034178,0.035097,0.036074,0.037103,0.038173,0.039276,0.040400,0.041534,0.042666,0.043784,0.044877,0.045933,0.046943,0.047897,0.048788,0.049609,0.050355,0.051022,0.051609,0.052113,0.052536,0.052878,0.053143,0.053335,0.053456,0.053513,0.053510,0.053454,0.053349,0.053202,0.053019,0.052805,0.052566,0.052306,0.052030,0.051743,0.051448,0.051149,0.050849,0.050550,0.050256,0.049967,0.049686,0.049414,0.049152
-0.000335,-0.003236,-0.006608,-0.010484,-0.014880,-0.019794,-0.025199,-0.031034,-0.037206,-0.043585,-0.050015,-0.056315,-0.062300,-0.067791,-0.072635,-0.076715,-0.079969,-0.082383,-0.084001,-0.084911,-0.085236,-0.085126,-0.084741,-0.084244,-0.083792,-0.083532,-0.083596,-0.084101,-0.085147,-0.086817,-0.089179,-0.092279,-0.096138,-0.100748,-0.106055,-0.111946,-0.118230,-0.124615,-0.130694,-0.135929,-0.139672,-0.141206,-0.139838,-0.135032,-0.126557,-0.114608,-0.099844,-0.083303,-0.066215,-0.049762,-0.034872,-0.022113,-0.011687,-0.003508,0.002692,0.007263,0.010560,0.012905,0.014560,0.015732,0.016571,0.017186,0.017652,0.018022,0.018328,0.018593,0.018833,0.019057,0.019273,0.019488,0.019705,0.019929,0.020163,0.020412,0.020678,0.020964,0.021272,0.021603,0.021957,0.022333,0.022730,0.023145,0.023575,0.024015,0.024460,0.024906,0.025348,0.025781,0.026202,0.026609,0.026999,0.027374,0.027735,0.028085,0.028430,0.028776,0.029131,0.029502,0.029900,0.030333,0.030810,0.031338,0.031925,0.032576,0.033294,0.034081,0.034937,0.035858,0.036841,0.037879,0.038963,0.040083,0.041229,0.042389,0.043550,0.044700,0.045826,0.046916,0.047961,0.048948,0.049871,0.050720,0.051492,0.052180,0.052782,0.053297,0.053724,0.054066,0.054324,0.054502,0.054605,0.054638,0.054606,0.054516,0.054373,0.054185,0.053958,0.053698,0.053410,0.053101,0.052775,0.052437,0.052092,0.051743,0.051394,0.051048,0.050707,0.050374,0.050050,0.049736,0.049434,0.049145
0.002558,0.000074,-0.002832,-0.006199,-0.010056,-0.014423,-0.019298,-0.024656,-0.030447,-0.036586,-0.042963,-0.049441,-0.055863,-0.062068,-0.067898,-0.073219,-0.077927,-0.081958,-0.085296,-0.087968,-0.090043,-0.091620,-0.092821,-0.093784,-0.094647,-0.095546,-0.096611,-0.097953,-0.099671,-0.101842,-0.104519,-0.107729,-0.111461,-0.115662,-0.120225,-0.124972,-0.129644,-0.133888,-0.137260,-0.139235,-0.139248,-0.136768,-0.131387,-0.122933,-0.111558,-0.097771,-0.082388,-0.066404,-0.050818,-0.036467,-0.023919,-0.013442,-0.005041,0.001463,0.006351,0.009938,0.012522,0.014364,0.015672,0.016607,0.017287,0.017796,0.018191,0.018513,0.018787,0.019030,0.019253,0.019465,0.019671,0.019877,0.020085,0.020301,0.020528,0.020769,0.021028,0.021307,0.021609,0.021935,0.022286,0.022662,0.023061,0.023481,0.023920,0.024373,0.024837,0.025306,0.025776,0.026243,0.026703,0.027154,0.027593,0.028021,0.028440,0.028851,0.029261,0.029675,0.030100,0.030545,0.031018,0.031527,0.032082,0.032689,0.033355,0.034085,0.034883,0.035748,0.036679,0.037674,0.038726,0.039827,0.040969,0.042141,0.043329,0.044522,0.045707,0.046870,0.047998,0.049079,0.050103,0.051059,0.051940,0.052738,0.053448,0.054067,0.054593,0.055025,0.055365,0.055616,0.055779,0.055861,0.055867,0.055803,0.055675,0.055491,0.055257,0.054980,0.054667,0.054325,0.053960,0.053578,0.053183,0.052781,0.052377,0.051973,0.051573,0.051180,0.050796,0.050423,0.050063,0.049717,0.049386,0.049070
0.005161,0.003040,0.000550,-0.002351,-0.005699,-0.009523,-0.013839,-0.018646,-0.023923,-0.029625,-0.035680,-0.041991,-0.048439,-0.054892,-0.061209,-0.067258,-0.072919,-0.078103,-0.082751,-0.086844,-0.090397,-0.093461,-0.096113,-0.098448,-0.100574,-0.102602,-0.104638,-0.106779,-0.109104,-0.111672,-0.114515,-0.117631,-0.120976,-0.124457,-0.127922,-0.131155,-0.133864,-0.135692,-0.136226,-0.135034,-0.131715,-0.125968,-0.117672,-0.106949,-0.094191,-0.080034,-0.065270,-0.050724,-0.037128,-0.025018,-0.014699,-0.006247,0.000435,0.005557,0.009383,0.012182,0.014198,0.015640,0.016670,0.017415,0.017966,0.018387,0.018724,0.019005,0.019250,0.019472,0.019680,0.019880,0.020076,0.020273,0.020473,0.020681,0.020900,0.021134,0.021385,0.021657,0.021953,0.022274,0.022621,0.022996,0.023396,0.023822,0.024269,0.024736,0.025218,0.025711,0.026210,0.026712,0.027213,0.027710,0.028201,0.028687,0.029168,0.029647,0.030128,0.030618,0.031121,0.031648,0.032204,0.032800,0.033442,0.034138,0.034894,0.035713,0.036599,0.037550,0.038564,0.039638,0.040764,0.041933,0.043135,0.044357,0.045587,0.046810,0.048013,0.049183,0.050305,0.051369,0.052362,0.053276,0.054104,0.054838,0.055476,0.056014,0.056452,0.056790,0.057032,0.057180,0.057239,0.057216,0.057116,0.056947,0.056716,0.056431,0.056099,0.055728,0.055325,0.054898,0.054452,0.053993,0.053528,0.053060,0.052594,0.052133,0.051682,0.051241,0.050814,0.050402,0.050007,0.049628,0.049267,0.048925
0.007529,0.005719,0.003589,0.001099,-0.001788,-0.005105,-0.008878,-0.013120,-0.017831,-0.022992,-0.028563,-0.034479,-0.040658,-0.046998,-0.053385,-0.059702,-0.065833,-0.071680,-0.077163,-0.082230,-0.086860,-0.091057,-0.094854,-0.098306,-0.101480,-0.104451,-0.107293,-0.110074,-0.112846,-0.115641,-0.118463,-0.121280,-0.124019,-0.126560,-0.128729,-0.130298,-0.130989,-0.130489,-0.128474,-0.124649,-0.118799,-0.110845,-0.100885,-0.089224,-0.076351,-0.062892,-0.049515,-0.036843,-0.025364,-0.015393,-0.007058,-0.000331,0.004930,0.008934,0.011911,0.014084,0.015650,0.016773,0.017582,0.018173,0.018619,0.018967,0.019253,0.019499,0.019718,0.019922,0.020115,0.020304,0.020490,0.020677,0.020869,0.021069,0.021280,0.021505,0.021749,0.022014,0.022303,0.022619,0.022963,0.023336,0.023738,0.024168,0.024625,0.025105,0.025606,0.026123,0.026652,0.027191,0.027735,0.028281,0.028829,0.029376,0.029925,0.030478,0.031038,0.031610,0.032202,0.032819,0.033470,0.034162,0.034903,0.035699,0.036555,0.037473,0.038456,0.039501,0.040606,0.041765,0.042969,0.044209,0.045471,0.046743,0.048011,0.049260,0.050476,0.051644,0.052751,0.053786,0.054738,0.055598,0.056360,0.057018,0.057570,0.058015,0.058352,0.058585,0.058716,0.058752,0.058697,0.058559,0.058345,0.058063,0.057722,0.057330,0.056895,0.056425,0.055928,0.055411,0.054881,0.054344,0.053805,0.053269,0.052741,0.052223,0.051719,0.051230,0.050760,0.050309,0.049878,0.049467,0.049078,0.048710
